"hydroid"	"bundle"	"ftype"	"hydrocode"	"name"	"fstatus"	"address1"	"address2"	"city"	"state"	"postal_code"	"description"	"uid"	"status"	"module"	"feed_nid"	"dh_link_facility_mps"	"dh_nextdown_id"	"dh_areasqkm"	"dh_link_admin_location"	"field_dh_from_entity"	"field_dh_to_entity"	"dh_geofield"	"geom"
"443817"	"transfer"	"outfall"	"echo_DC0022004001"	"FROM DC0022004"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441037"	""	""	""	""	""	"POINT (-77.04167 38.81953)"	"POINT (-77.04167 38.81953)"
"443818"	"transfer"	"outfall"	"echo_DC0022004101"	"FROM DC0022004"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441037"	""	""	""	""	""	"POINT (-77.04167 38.81953)"	"POINT (-77.04167 38.81953)"
"443819"	"transfer"	"outfall"	"echo_DC0022004102"	"FROM DC0022004"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441037"	""	""	""	""	""	"POINT (-77.04167 38.81953)"	"POINT (-77.04167 38.81953)"
"443820"	"transfer"	"outfall"	"echo_VA0000248006"	"FROM VA0000248"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441049"	""	""	""	""	""	"POINT (-80.540277778038 37.193611110988)"	"POINT (-80.540277778038 37.193611110988)"
"443821"	"transfer"	"outfall"	"echo_VA0000248402"	"FROM VA0000248"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441049"	""	""	""	""	""	"POINT (-80.556944444287 37.185000000353)"	"POINT (-80.556944444287 37.185000000353)"
"443822"	"transfer"	"outfall"	"echo_VA0000281001"	"FROM VA0000281"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441050"	""	""	""	""	""	"POINT (-80.785698 37.048018)"	"POINT (-80.785698 37.048018)"
"443823"	"transfer"	"outfall"	"echo_VA0000370001"	"FROM VA0000370"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441052"	""	""	""	""	""	"POINT (-80.862222222309 37.371388888842)"	"POINT (-80.862222222309 37.371388888842)"
"443824"	"transfer"	"outfall"	"echo_VA0000370002"	"FROM VA0000370"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441052"	""	""	""	""	""	"POINT (-80.863333333213 37.371666666749)"	"POINT (-80.863333333213 37.371666666749)"
"443825"	"transfer"	"outfall"	"echo_VA0000370003"	"FROM VA0000370"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441052"	""	""	""	""	""	"POINT (-80.863888889114 37.371944444342)"	"POINT (-80.863888889114 37.371944444342)"
"443826"	"transfer"	"outfall"	"echo_VA0000370004"	"FROM VA0000370"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441052"	""	""	""	""	""	"POINT (-80.867222221825 37.373611111143)"	"POINT (-80.867222221825 37.373611111143)"
