"bundle"	"admincode"	"description"	"name"	"ftype"	"fstatus"	"startdate"	"enddate"	"permit_id"	"dh_link_admin_reg_issuer"
"permit"	"VA0086355"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ABB INCORPORATED - BLAND"	"npdes_ip"	"revoked"	2011-03-23	2016-03-22	"VA0086355"	"epa"
"permit"	"VA0027162"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ACCOMACK COUNTY - KEGOTANK ELE"	"npdes_ip"	"revoked"	2007-07-08	2012-07-07	"VA0027162"	"epa"
"permit"	"VA0027171"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ACCOMACK COUNTY - PUNGOTEAGUE"	"npdes_ip"	"revoked"	2007-07-08	2012-07-07	"VA0027171"	"epa"
"permit"	"VA0091529"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ACCOMACK COUNTY LEACHATE TREATMENT FACILITY"	"npdes_ip"	"active"	2016-04-01	2021-03-31	"VA0091529"	"epa"
"permit"	"VA0002194"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ACCUTEC BLADES INC"	"npdes_ip"	"active"	2016-07-01	2021-06-30	"VA0002194"	"epa"
"permit"	"VA0090441"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ADAPTIVE CONCRETE SOLUTIONS"	"npdes_ip"	"revoked"	2011-01-05	2016-01-04	"VA0090441"	"epa"
"permit"	"VA0006254"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ADDISON EVANS WATER PRODUCTION AND LABORATORY"	"npdes_ip"	"active"	2016-05-01	2021-04-30	"VA0006254"	"epa"
"permit"	"VAN040082"	"General Permit Covered Facility"	"ADVANSIX RESINS & CHEMICALS LLC"	"npdes_gp"	"active"	2017-01-01	2021-12-31	"VAN040082"	"epa"
"permit"	"VA0005291"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ADVANSIX RESINS & CHEMICALS LLC"	"npdes_ip"	"active"	2016-08-01	2021-07-31	"VA0005291"	"epa"
"permit"	"VA0005312"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ADVANSIX RESINS AND CHEMICALS LLC - CHESTERFIELD"	"npdes_ip"	"active"	2018-07-12	2023-06-30	"VA0005312"	"epa"
"permit"	"VA0092304"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"AGAPE MOTORCOACH RETREAT LLC"	"npdes_ip"	"revoked"	2008-05-07	2013-05-06	"VA0092304"	"epa"
"permit"	"VA0052655"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ALBEMARLE US INC"	"npdes_ip"	"active"	2014-08-08	2019-08-07	"VA0052655"	"epa"
"permit"	"VA0026816"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ALBERTA WASTEWATER TREATMENT PLANT"	"npdes_ip"	"revoked"	2009-03-05	2014-03-04	"VA0026816"	"epa"
"permit"	"VA0089133"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ALDIE WASTEWATER TREATMENT PLANT"	"npdes_ip"	"active"	2017-01-01	2021-12-31	"VA0089133"	"epa"
"permit"	"VA0087068"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ALEXANDRIA COMBINED SEWER SYSTEM"	"npdes_ip"	"active"	2018-09-01	2023-08-31	"VA0087068"	"epa"
"permit"	"VA0025160"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ALEXANDRIA RENEW ENTERPRISES WWTP"	"npdes_ip"	"active"	2015-03-01	2020-02-29	"VA0025160"	"epa"
"permit"	"VAN010059"	"General Permit Covered Facility"	"ALEXANDRIA RENEW ENTERPRISES WWTP"	"npdes_gp"	"active"	2017-01-01	2021-12-31	"VAN010059"	"epa"
"permit"	"VA0090671"	"National Pollutant Discharge Elimination System (NPDES) Permit"	"ALLEGHANY CO - LOWER JACKSON RIVER REGIONAL WWTP"	"npdes_ip"	"active"	2016-09-28	2021-08-31	"VA0090671"	"epa"
"permit"	"VAN040069"	"General Permit Covered Facility"	"ALLEGHANY COUNTY - AGGREGATE NUTRIENT DISCHARGE"	"npdes_gp"	"active"	2017-01-01	2021-12-31	"VAN040069"	"epa"
