"hydrocode"	"varkey"	"propname"	"propvalue"	"proptext"	"propcode"	"startdate"	"enddate"	"values"	"value"
"echo_VA0086355"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VAL026531"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VA0027162"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VA0027171"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VA0091529"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VA0002194"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VAU001601"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VAU001696"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VA0090441"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VA0006254"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VAN040082"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VA0005291"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VA0005312"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VA0092304"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VAU001719"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VAL022292"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VAL064637"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VAU000053"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VAU001841"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VA0052655"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VA0026816"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VA0089133"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VAL025160"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VAL087068"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VA0087068"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	"4"	""	""	""	""	""	""
"echo_VA0025160"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VAN010059"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VAL090671"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VA0090671"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VAU000005"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VAN040069"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VA0027979"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VAG110188"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VAG110065"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VAG110064"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VAG114034"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VA0001961"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
"echo_VAN010008"	"cwp_cso_outfalls"	"cwp_cso_outfalls"	""	""	""	""	""	""	""
