"hydrocode"	"varkey"	"propname"	"propvalue"	"proptext"	"propcode"	"startdate"	"enddate"
"echo_VA0063606"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VA0086355"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VAL026531"	"impair_cause"	"impair_cause"	""	"CAUSE UNKNOWN - IMPAIRED BIOTA | PATHOGENS | POLYCHLORINATED BIPHENYLS (PCBS)_CAUSE UNKNOWN - IMPAIRED BIOTA | PATHOGENS | POLYCHLORINATED BIPHENYLS (PCBS)"	""	""	""
"echo_VA0027162"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VA0027171"	"impair_cause"	"impair_cause"	""	"NOXIOUS AQUATIC PLANTS | ORGANIC ENRICHMENT/OXYGEN DEPLETION | POLYCHLORINATED BIPHENYLS (PCBS)"	""	""	""
"echo_VA0091529"	"impair_cause"	"impair_cause"	""	"ORGANIC ENRICHMENT/OXYGEN DEPLETION | PATHOGENS"	""	""	""
"echo_VA0002194"	"impair_cause"	"impair_cause"	""	"CAUSE UNKNOWN - IMPAIRED BIOTA | PATHOGENS"	""	""	""
"echo_VAU001601"	"impair_cause"	"impair_cause"	""	"CAUSE UNKNOWN - IMPAIRED BIOTA | PATHOGENS | POLYCHLORINATED BIPHENYLS (PCBS) | TEMPERATURE"	""	""	""
"echo_VAU001696"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VA0090441"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VA0006254"	"impair_cause"	"impair_cause"	""	"ORGANIC ENRICHMENT/OXYGEN DEPLETION"	""	""	""
"echo_VAN040082"	"impair_cause"	"impair_cause"	""	"ALGAL GROWTH | NOXIOUS AQUATIC PLANTS | ORGANIC ENRICHMENT/OXYGEN DEPLETION | PATHOGENS | PH/ACIDITY/CAUSTIC CONDITIONS | POLYCHLORINATED BIPHENYLS (PCBS)_ALGAL GROWTH | NOXIOUS AQUATIC PLANTS | ORGANIC ENRICHMENT/OXYGEN DEPLETION | PATHOGENS | PH/ACIDITY/CAUSTIC CONDITIONS | POLYCHLORINATED BIPHENYLS (PCBS)"	""	""	""
"echo_VA0005291"	"impair_cause"	"impair_cause"	""	"ALGAL GROWTH | NOXIOUS AQUATIC PLANTS | ORGANIC ENRICHMENT/OXYGEN DEPLETION | PATHOGENS | PH/ACIDITY/CAUSTIC CONDITIONS | POLYCHLORINATED BIPHENYLS (PCBS)_ALGAL GROWTH | NOXIOUS AQUATIC PLANTS | ORGANIC ENRICHMENT/OXYGEN DEPLETION | PATHOGENS | PH/ACIDITY/CAUSTIC CONDITIONS | POLYCHLORINATED BIPHENYLS (PCBS)"	""	""	""
"echo_VA0005312"	"impair_cause"	"impair_cause"	""	"ALGAL GROWTH | NOXIOUS AQUATIC PLANTS | ORGANIC ENRICHMENT/OXYGEN DEPLETION | PATHOGENS | POLYCHLORINATED BIPHENYLS (PCBS)"	""	""	""
"echo_VA0092304"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VAU001719"	"impair_cause"	"impair_cause"	""	"MERCURY | ORGANIC ENRICHMENT/OXYGEN DEPLETION | PATHOGENS"	""	""	""
"echo_VAL022292"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VAL064637"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VAU000053"	"impair_cause"	"impair_cause"	""	"CAUSE UNKNOWN - IMPAIRED BIOTA | PATHOGENS"	""	""	""
"echo_VAU001841"	"impair_cause"	"impair_cause"	""	"CAUSE UNKNOWN - IMPAIRED BIOTA | PATHOGENS"	""	""	""
"echo_VA0052655"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VA0026816"	"impair_cause"	"impair_cause"	""	"PATHOGENS"	""	""	""
"echo_VA0089133"	"impair_cause"	"impair_cause"	""	"CAUSE UNKNOWN - IMPAIRED BIOTA"	""	""	""
"echo_VAL025160"	"impair_cause"	"impair_cause"	""	"PATHOGENS | POLYCHLORINATED BIPHENYLS (PCBS)_PATHOGENS | POLYCHLORINATED BIPHENYLS (PCBS)_PATHOGENS | POLYCHLORINATED BIPHENYLS (PCBS)"	""	""	""
"echo_VAL087068"	"impair_cause"	"impair_cause"	""	"PATHOGENS | POLYCHLORINATED BIPHENYLS (PCBS)_NUTRIENTS | PATHOGENS | POLYCHLORINATED BIPHENYLS (PCBS) | TOXIC ORGANICS | TURBIDITY"	""	""	""
"echo_VA0087068"	"impair_cause"	"impair_cause"	""	"PATHOGENS | POLYCHLORINATED BIPHENYLS (PCBS)_NUTRIENTS | PATHOGENS | POLYCHLORINATED BIPHENYLS (PCBS) | TOXIC ORGANICS | TURBIDITY"	""	""	""
"echo_VA0025160"	"impair_cause"	"impair_cause"	""	"PATHOGENS | POLYCHLORINATED BIPHENYLS (PCBS)_PATHOGENS | POLYCHLORINATED BIPHENYLS (PCBS)_PATHOGENS | POLYCHLORINATED BIPHENYLS (PCBS)"	""	""	""
"echo_VAN010059"	"impair_cause"	"impair_cause"	""	"PATHOGENS | POLYCHLORINATED BIPHENYLS (PCBS)_PATHOGENS | POLYCHLORINATED BIPHENYLS (PCBS)_PATHOGENS | POLYCHLORINATED BIPHENYLS (PCBS)"	""	""	""
"echo_VA0090671"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VAL090671"	"impair_cause"	"impair_cause"	""	"CAUSE UNKNOWN - IMPAIRED BIOTA"	""	""	""
"echo_VAU000005"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VAN040069"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VA0027979"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VAG110188"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VAG110065"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VAG110064"	"impair_cause"	"impair_cause"	""	"CAUSE UNKNOWN - IMPAIRED BIOTA | PATHOGENS"	""	""	""
"echo_VAG114034"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VAN010008"	"impair_cause"	"impair_cause"	""	"CAUSE UNKNOWN - IMPAIRED BIOTA | MERCURY | PATHOGENS | POLYCHLORINATED BIPHENYLS (PCBS)"	""	""	""
"echo_VA0001961"	"impair_cause"	"impair_cause"	""	"CAUSE UNKNOWN - IMPAIRED BIOTA | MERCURY | PATHOGENS | POLYCHLORINATED BIPHENYLS (PCBS)"	""	""	""
"echo_VA0020451"	"impair_cause"	"impair_cause"	""	"MERCURY | POLYCHLORINATED BIPHENYLS (PCBS)"	""	""	""
"echo_VAL020451"	"impair_cause"	"impair_cause"	""	"MERCURY | POLYCHLORINATED BIPHENYLS (PCBS)"	""	""	""
"echo_VAN040105"	"impair_cause"	"impair_cause"	""	"PATHOGENS"	""	""	""
"echo_VAL091707"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VA0086681"	"impair_cause"	"impair_cause"	""	"PATHOGENS"	""	""	""
"echo_VA0091707"	"impair_cause"	"impair_cause"	""	"PATHOGENS"	""	""	""
"echo_VAR140069"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VA0091979"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VAU001613"	"impair_cause"	"impair_cause"	""	"PATHOGENS"	""	""	""
"echo_VA0001015"	"impair_cause"	"impair_cause"	""	"CAUSE UNKNOWN - IMPAIRED BIOTA | PATHOGENS | SALINITY/TOTAL DISSOLVED SOLIDS/CHLORIDES/SULFATES | TURBIDITY"	""	""	""
"echo_VA0087106"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VA0087092"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VA0088765"	"impair_cause"	"impair_cause"	""	"PATHOGENS"	""	""	""
"echo_VAU001600"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VAR130015"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VA0063657"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VA0082546"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VA0088684"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
"echo_VAU001658"	"impair_cause"	"impair_cause"	""	"NA"	""	""	""
