"hydrocode"	"varkey"	"varcode"	"vardesc"	"propname"	"propvalue"	"proptext"	"propcode"
"echo_VA0057576001"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0052621001"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0052621001"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0052621001"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0052621001"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0052621001"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0052621001"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0029785007"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0004090101"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0004090101"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0004090101"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0029785009"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0004090101"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
